run_id,concurrency,call_id,turn_index,row_kind,category,status,call_error,turn_error,client_latency_s,think_time_s,turn_duration_s,user_speech_s,turn_start_ts,turn_end_ts,eou_s,stt_s,endpointing_s,ttft_s,llm_total_s,llm_tokens,tts_s,tts_audio_s,cancelled,total_s,call_start_ts,call_end_ts,e2e_s,workflow_id,ended_reason
1790344272,4,ffca8e32-20ac-4193-a74b-8b6af0f522ca,5,paired,short,finalizada,,,3.048475525021786,2.426610320851282,9.718,0.48,1790344363.267,1790344372.985,1.0,0.387,0.613,0.227,1.113,,0.097,5.05,,1.324,1790344273.89,1790344375.553,1.601,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,0,client_only,short,finalizada,,timeout esperando que el agente empiece a responder,,2.433361623167003,15.482,0.48,1790344290.744,1790344306.226,,,,,,,,,,,1790344274.14,1790344375.852,,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,1,client_only,long,finalizada,,,3.4046757480246015,1.4247148224516168,12.019,3.06,1790344308.66,1790344320.679,,,,,,,,,,,1790344274.14,1790344375.852,,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,2,client_only,short,finalizada,,,3.7849063120083883,3.184746532088047,10.762,0.48,1790344322.105,1790344332.866,,,,,,,,,,,1790344274.14,1790344375.852,,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,3,client_only,short,finalizada,,,4.747058426000876,1.2675658972274395,11.229,0.48,1790344336.052,1790344347.28,,,,,,,,,,,1790344274.14,1790344375.852,,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,4,client_only,long,finalizada,,,4.319453370990232,1.0,11.404,3.52,1790344348.55,1790344359.954,,,,,,,,,,,1790344274.14,1790344375.852,,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,5,client_only,long,finalizada,,,3.8390552710043266,2.3015163732220207,12.47,3.06,1790344360.955,1790344373.426,,,,,,,,,,,1790344274.14,1790344375.852,,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,0,server_only,,finalizada,,,,,,,,,1.049,1.036,0.013,0.452,0.863,,0.135,4.17,,1.637,1790344274.14,1790344375.852,2.038,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,1,server_only,,finalizada,,,,,,,,,0.981,0.968,0.013,0.595,1.317,,0.143,5.29,,1.719,1790344274.14,1790344375.852,2.433,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,2,server_only,,finalizada,,,,,,,,,0.724,0.712,0.012,0.999,2.314,,0.165,4.73,,1.888,1790344274.14,1790344375.852,3.197,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,3,server_only,,finalizada,,,,,,,,,1.594,1.582,0.012,0.505,0.998,,0.627,2.17,,2.725,1790344274.14,1790344375.852,3.21,demo_booking,customer_hangup
1790344272,4,4d564d4e-fdc0-4204-a371-30685e70fa40,4,server_only,,finalizada,,,,,,,,,0.77,0.757,0.013,0.84,1.319,,0.672,4.49,,2.281,1790344274.14,1790344375.852,2.752,demo_booking,customer_hangup
1790344272,8,55ea9e74-21a3-44f5-bfd1-f0295df7f38b,0,paired,short,finalizada,,,4.684048452996649,3.6857447913358268,9.753,0.38,1790344394.524,1790344404.277,1.0,0.937,0.063,0.583,1.222,,0.154,3.05,,1.737,1790344380.11,1790344491.875,2.318,demo_booking,customer_hangup
1790344272,8,55ea9e74-21a3-44f5-bfd1-f0295df7f38b,1,paired,short,finalizada,,,2.61599393398501,2.0010184923971495,9.314,0.32,1790344407.963,1790344417.277,1.001,0.381,0.619,0.202,0.795,,0.049,5.22,,1.251,1790344380.11,1790344491.875,1.053,demo_booking,customer_hangup
1790344272,8,55ea9e74-21a3-44f5-bfd1-f0295df7f38b,2,paired,long,finalizada,,,2.2051755120046437,3.3274303215552483,14.991,3.52,1790344419.279,1790344434.27,0.446,0.434,0.012,0.189,0.915,,0.043,8.18,,0.677,1790344380.11,1790344491.875,0.785,demo_booking,customer_hangup
