call_id,paso,concurrencia_obj,t_prog,t_inicio,t_conectado,saludo_s,t_fin,turnos_plan,turnos_cliente,turnos_server,turnos_sin_resp,status,ended_reason,error,mic_lag_max_s,workflow_status,outcome,wer,cortes
7d097e2e-1548-4241-9591-94501f6ca02f,e2_16,16,1790377422.63,1790377422.63,1790377422.824,0.929,1790377534.018,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.053,8
e18410a1-c4a5-42b6-9883-8940c42cad5b,e2_16,16,1790377466.987,1790377466.987,1790377467.185,1.139,1790377534.574,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.083,4
f4473549-ed62-47ca-8fea-e2e05570b7fc,e2_16,16,1790377459.416,1790377459.417,1790377459.605,1.048,1790377546.86,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,5
20f3a6fc-d3ce-43f4-8e74-2383d448a61f,e2_16,16,1790377486.758,1790377486.758,1790377486.949,1.105,1790377551.475,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.037,4
9bca882f-0451-4a8f-8f84-57c8fb6532be,e2_16,16,1790377445.501,1790377445.502,1790377445.744,3.42,1790377565.476,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.038,7
f24a8294-6055-4b65-8878-ef5ae23fbe43,e2_16,16,1790377493.429,1790377493.429,1790377493.619,1.615,1790377572.576,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.0,4
54a12ac5-e206-4de3-815c-2b6ecf396a66,e2_16,16,1790377475.326,1790377475.326,1790377475.536,1.078,1790377582.443,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.0,8
7628acbe-394d-4709-84da-b2ec90df5a84,e2_16,16,1790377418.343,1790377418.353,1790377418.568,1.037,1790377492.736,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.023,7
e5a269f5-c769-49c9-a580-73f83c037823,e2_16,16,1790377425.087,1790377425.088,1790377425.286,1.019,1790377494.155,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.067,6
09ca57d1-85a1-4fba-90e1-7c40587f25e9,e2_16,16,1790377446.014,1790377446.015,1790377446.208,1.057,1790377517.762,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.03,1
e140d7ac-22fc-44f5-b227-3b2afa54ec57,e2_16,16,1790377437.642,1790377437.642,1790377437.836,0.959,1790377524.573,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.0,8
4bef2f74-8c2c-4630-a52d-81b52a0d58a6,e2_16,16,1790377426.089,1790377426.09,1790377426.279,1.186,1790377529.545,8,8,8,0,finalizada,customer_hangup,,0.0,completed,,0.062,9
9dfb95b9-cda8-43f8-af1a-7f28a4202749,e2_16,16,1790377452.569,1790377452.569,1790377452.808,1.368,1790377543.36,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,6
36627ee7-970a-4860-8ebb-2813ed4c141e,e2_16,16,1790377459.539,1790377459.54,1790377459.779,0.986,1790377544.234,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.026,7
2cdf01e0-dc7f-4a4c-ae74-282108c75a61,e2_16,16,1790377485.357,1790377485.357,1790377485.569,1.316,1790377557.758,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.062,6
50e9ac74-e6b5-47ec-9ae2-d59441af3eef,e2_16,16,1790377490.995,1790377490.995,1790377491.192,1.323,1790377565.964,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.03,4
761a8cae-7914-4bbf-8774-7777b5f314ec,e2_16,16,1790377474.074,1790377474.075,1790377474.284,1.042,1790377579.635,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.0,12
