paso,concurrencia_obj,desde,hasta,concurrencia_real,concurrencia_max,llegadas_min,completadas_min,cliente_cpu_p95,turnos,sin_respuesta,turnos_desfasados,turnos_solapados,espera_p50,espera_p95,espera_p99,frac_ok,frac_pesimo,frac_malo_o_peor,wer,cortes_por_resp,frac_resp_con_cortes,eou_p50,eou_p95,stt_p50,stt_p95,llm_p50,llm_p95,llm_total_p50,llm_total_p95,tts_p50,tts_p95,e2e_p50,e2e_p95,agregada_p50,agregada_p95,llamadas,frac_buenas,frac_fallas,saludo_p50,saludo_p95,mic_lag_p95,cpu_host_prom,cpu_host_p95,cpu_core_mas_cargado_p95,agente_cores_prom,agente_cores_max,cores_por_llamada,gpu0_uso,gpu0_seg95,gpu0_vram_max_mib,gpu0_temp_max,gpu0_throttle_termico,gpu0_wh,gpu1_uso,gpu1_seg95,gpu1_vram_max_mib,gpu1_temp_max,gpu1_throttle_termico,gpu1_wh,llm_cola_ms,llm_entre_tokens_ms,llm_en_vuelo_max,llm_kv_max,llm_preemptions,stt_cola_ms,stt_entre_tokens_ms,stt_en_vuelo_max,stt_kv_max,stt_preemptions,tts_cola_ms,tts_entre_tokens_ms,tts_en_vuelo_max,tts_kv_max,tts_preemptions,llm_ttft_ms,cpu_temp_max,cpu_mhz_prom,wh_gpu_por_llamada_min,cliente_sano,cumple_slo,cuello
e0_4,4,1790384274.0005322,1790384334.0005322,3.7,6,0.0,5.0,2.3,13,0,0,0,1.736,2.012,2.207,0.077,0.0,0.077,0.238,1.154,0.846,0.401,1.001,0.378,0.457,0.14,0.186,0.417,0.888,0.068,0.126,0.888,1.27,0.073,-0.029,0,,,,,,9.5,19.5,52.0,0.39,0.76,0.107,30.3,0.283,7656.0,50.0,0.0,0.782,21.6,0.183,18116.0,63.0,0.0,2.435,0.0,12.3,2.0,0.058,0.0,0.0,,1.0,,,0.0,17.4,3.0,0.071,0.0,123.4,55.5,4028.0,0.8734,True,False,
e1_8,8,1790384395.0001104,1790384455.0001104,3.1,5,4.0,2.0,2.0,12,0,0,0,1.796,2.194,2.215,0.083,0.0,0.25,0.183,1.083,0.667,0.763,1.001,0.382,0.503,0.138,0.149,0.425,0.928,0.069,0.113,1.072,1.237,0.133,0.153,4,0.75,0.0,0.984,3.126,0.0,9.3,19.2,51.6,0.33,0.84,0.106,30.6,0.283,7656.0,57.0,0.0,0.783,15.5,0.117,18196.0,59.0,0.0,2.218,0.0,13.1,2.0,0.058,0.0,0.0,,0.0,,,0.0,17.3,2.0,0.071,0.0,133.2,56.4,4037.0,0.9527,True,False,
e2_16,16,1790384516.000072,1790384576.000072,14.8,18,11.0,8.0,3.6,59,0,0,0,1.889,2.391,2.645,0.017,0.0,0.339,0.114,1.22,0.763,0.55,1.001,0.436,0.603,0.152,0.22,0.503,1.209,0.112,0.188,1.105,1.508,0.226,0.35,11,0.0,0.0,1.251,3.537,0.0,27.7,36.4,67.0,1.65,2.33,0.112,80.9,0.817,7658.0,55.0,0.0,1.608,66.9,0.633,18188.0,68.0,0.0,3.711,0.0,14.9,3.0,0.071,0.0,10.8,,1.0,,,0.0,20.7,5.0,0.141,0.0,144.5,63.2,4450.0,0.3606,True,False,
e3_32,32,1790384637.0000722,1790384697.0000722,34.2,43,28.0,15.0,9.2,128,0,0,1,2.511,3.355,3.63,0.008,0.234,0.844,0.098,1.086,0.734,0.601,1.001,0.495,0.632,0.179,0.348,0.726,1.715,0.228,0.415,1.356,1.919,0.848,1.314,28,0.0,0.0,1.825,3.354,0.0,54.1,72.4,87.7,4.25,7.17,0.124,93.5,0.95,7672.0,60.0,0.0,2.067,86.6,0.85,18149.0,72.0,0.0,4.341,0.0,20.5,9.0,0.15,0.0,20.7,,2.0,,,0.0,36.1,14.0,0.388,0.0,182.1,66.5,4481.0,0.1874,True,False,GPU0 con 95% de los segundos al >=95 %
e4_64,64,1790384758.0000687,1790384818.0000687,68.6,76,41.0,18.0,16.6,185,8,7,32,7.084,11.065,12.316,0.016,0.984,0.984,0.093,1.724,0.729,1.725,2.866,1.556,2.803,0.643,1.441,1.628,3.207,0.872,1.663,4.002,6.936,5.421,9.024,41,0.0,0.0,6.325,8.796,0.009,97.9,99.7,100.0,9.11,10.45,0.133,94.8,0.8,7700.0,61.0,0.0,2.189,93.1,0.833,18725.0,74.0,0.0,4.55,0.2,30.0,13.0,0.221,0.0,326.1,,11.0,,,3.5,79.0,34.0,0.865,0.0,277.4,65.1,4350.0,0.0983,True,False,"CPU del host (p95 99.7 %, core mas cargado 100.0 %); cola de STT 326.1 ms; agente: 2730 avisos de VAD atrasado"
e5_96,96,1790384879.000069,1790384939.000069,109.4,125,64.0,37.0,27.6,120,65,142,50,9.636,13.961,14.706,0.05,0.917,0.95,,4.585,0.83,3.681,7.095,2.726,5.602,2.213,5.602,5.13,6.833,2.62,4.681,9.14,19.69,7.973,11.92,64,0.0,0.141,10.598,16.209,0.0,99.8,99.9,100.0,10.16,10.96,0.093,86.7,0.617,7702.0,60.0,0.0,2.068,88.7,0.8,18806.0,74.0,0.0,4.473,0.5,23.7,14.0,0.252,0.0,577.0,,11.0,,,0.1,76.3,30.0,0.8,0.0,272.7,66.1,4327.0,0.0598,True,False,"CPU del host (p95 99.9 %, core mas cargado 100.0 %); cola de STT 577.0 ms; agente: 12130 avisos de VAD atrasado"
